지역,구군,주소,우편번호,전화번호,남자인구수(명),여자인구수(명),시전체 인구에 대한 구성비(퍼센트),면적(제곱킬로미터),인구밀도(제곱킬로미터 당 명수)
부산시,중구,부산시 기장군 중구로 120,48926,051-600-4000,21120,21489,1.254641709,2.8291486,15061
부산시,서구,부산시 서구 구덕로 120,49247,051-240-4000,52051,55092,3.154875182,13.954273,7678
부산시,동구,부산시 동구 구청로 1,48781,051-466-7191,43851,45861,2.641611326,9.8646056,9094
부산시,영도구,부산시 영도구 태종로 423,49011,051-419-4000,55576,56875,3.311171697,14.1999165,7919
부산시,부산진구,부산시 부산진구 시민공원로 30,47193,051-605-4000,171262,184640,10.47969897,29.6670958,11997
부산시,동래구,부산시 동래구 명륜로94번길 55,47808,051-550-4000,130093,137911,7.891501716,16.6318097,16114
부산시,남구,부산시 남구 못골로 19,48454,051-607-4000,130654,136768,7.874364457,26.82038,9971
부산시,북구,부산시 북구 낙동대로1570번길 33,46504,051-309-4000,140791,144599,8.403440526,39.3731949,7248
부산시,해운대구,부산시 해운대구 중동2로 11,48095,051-749-4000,192901,208230,11.81148779,51.5409065,7783
부산시,사하구,부산시 사하구 낙동대로398번길 12,49328,051-220-4000,154681,155514,9.133835221,41.7706591,7426
부산시,금정구,부산시 금정구 중앙대로 1777,46274,051-519-4000,113067,118929,6.831229504,65.2773832,3554
부산시,강서구,부산시 강서구 낙동북로 477,46702,051-970-4000,77658,69689,4.338700554,181.5005798,812
부산시,연제구,부산시 연제구 연제로 2,47605,051-665-4000,100107,107943,6.126128461,12.1020006,17191
부산시,수영구,부산시 수영구 남천동로 100,48305,051-610-4000,83375,93437,5.206311105,10.2181798,17304
부산시,사상구,부산시 사상구 학감대로 242,46985,051-310-4000,107440,105331,6.265140489,36.104593,5893
부산시,기장군,부산시 기장군 기장읍 기장대로 560,46077,051-709-4000,88992,90182,5.275861287,218.3160247,821
